name2,lon2,lat2
b168,115.44022,34.59392
b169,114.03661,34.50479
b170,113.55822,35.57434
b171,115.14626,35.42007
b172,113.81123,35.89148
b173,113.86141,35.98017
b174,115.99617,34.13324
b175,115.38356,35.56787
b176,113.77211,36.16517
b177,114.07148,36.83608
b178,114.83346,34.18396
b179,115.89493,34.85744
b180,113.36179,35.63871
b181,113.75209,34.38677
b182,115.7241,34.66662
b183,114.54613,35.15543
b184,115.51944,34.21165
b185,115.43311,35.89971
b186,113.96485,34.49061
b187,113.50372,36.18349
b188,113.27559,34.84102
b189,114.03933,36.58905
b190,115.5696,34.71963
b191,114.82791,34.9984
b192,113.89904,36.26721
b193,115.17488,35.83017
b194,115.63811,36.56547
b195,113.2667,34.64201
b196,115.32837,36.89945
b197,115.15001,34.8669
b198,115.44651,35.70257
b199,115.7912,36.92219
b200,113.82174,36.09106
b201,114.0308,34.93029
b202,113.24595,35.85783
b203,114.3033,35.96297
b204,114.03361,36.00612
b205,113.98878,35.06889
b206,114.18865,35.33484
b207,113.68576,34.52442
b208,115.33882,34.54304
b209,115.10061,36.6019
b210,115.48087,36.56716
b211,113.29805,34.23464
b212,115.99934,36.15045
b213,113.57972,36.4668
b214,114.67478,34.75468
b215,113.9443,35.76897
b216,114.96302,34.36244
b217,114.17231,34.2335
b218,113.49629,34.52535
b219,114.48375,34.18424
b220,115.36089,34.41998
b221,113.73092,36.49546
b222,114.30343,36.4782
b223,115.54682,34.69405
b224,113.64307,36.91629
b225,113.55446,34.34164
b226,115.26962,35.1341
b227,113.22878,36.18287
b228,115.18946,34.28012
b229,115.25512,36.13663
b230,114.64953,34.95887
b231,114.57668,34.26867
b232,115.6131,35.51066
b233,113.19306,36.01682
b234,113.39335,35.84486
b235,114.32998,35.2717
b236,114.96396,36.25632
b237,115.79148,34.541
b238,113.46756,34.89032
b239,113.53494,34.43343
b240,115.22196,34.9766
b241,114.13166,35.88149
b242,113.22843,36.32005
b243,115.08919,35.13282
b244,115.90245,35.52745
b245,114.4265,34.97954
b246,114.80228,36.2999
b247,115.0577,35.70317
b248,113.85513,34.74073
b249,115.14381,36.64443
b250,113.83548,36.01901
b251,114.65923,34.59166
b252,114.19775,34.81702
b253,114.90514,34.99026
b254,114.33875,35.0262
b255,114.70284,36.47145
b256,115.99903,35.57058
b257,115.70486,34.43491
b258,114.97626,36.84683
b259,115.29768,35.19237
b260,115.03409,34.41181
b261,113.93971,36.62254
b262,115.43206,36.33335
b263,115.68132,35.95088
b264,114.75544,35.48603
b265,114.05979,36.83776
b266,114.83207,35.4851
b267,114.1953,34.24825
b268,114.60954,34.70806
b269,115.57339,35.66342
b270,114.11919,34.29916
b271,114.16848,35.5385
b272,114.48689,36.7589
b273,115.67709,35.43546
b274,113.62593,36.66046
b275,115.62919,36.79181
b276,115.76175,34.8335
b277,114.08207,36.02869
b278,115.40396,35.45084
b279,115.56232,35.35323
b280,115.34532,36.72468
b281,114.59033,35.8426
b282,115.37083,35.24041
b283,114.3554,34.26034
b284,113.52136,36.88452
b285,114.53597,35.6168
b286,113.54754,36.47803
b287,114.30478,35.99678
b288,114.82843,35.27499
b289,113.28271,35.79876
b290,113.18539,34.87018
b291,115.16843,35.9523
b292,113.12803,36.52363
b293,113.99854,36.12249
b294,113.95993,35.68384
b295,115.70313,36.60733
b296,114.50405,36.75666
b297,114.12221,35.91554
b298,113.73215,34.48132
b299,115.47345,36.63269
b300,115.98245,35.564
b301,115.5951,35.49444
b302,114.33672,35.42419
b303,114.44005,34.20545
b304,113.90574,36.11894
b305,115.90836,35.24655
b306,114.87947,34.639
b307,113.29137,35.25794
b308,114.40257,35.91343
b309,114.57203,36.62246
b310,113.63566,34.3411
b311,114.57124,34.67926
b312,115.18319,36.40949
b313,114.37552,36.81307
b314,113.41879,35.9288
b315,115.47965,34.50923
b316,114.72051,36.72444
b317,113.59014,34.21415
b318,114.89766,36.15405
b319,113.44289,36.16318
b320,113.45415,36.09802
b321,113.44795,36.53762
b322,113.37724,35.83452
b323,113.57533,35.14929
b324,114.92513,34.29415
b325,114.00012,35.74275
b326,114.40078,36.57031
b327,115.47905,35.87369
b328,115.62766,34.16261
b329,113.94331,36.71455
b330,115.16031,35.3296
b331,113.63461,35.67222
b332,114.12631,35.01505
b333,114.63473,34.62874
b334,115.36085,35.93686
b335,115.44619,35.74984
b336,114.14748,35.7182
b337,114.4644,36.94871
b338,114.01309,34.97588
b339,115.11286,34.73858
b340,115.21207,35.22683
b341,113.20234,34.68771
b342,114.4834,34.13233
b343,115.45199,34.34909
b344,114.27127,34.13137
b345,114.6963,35.13166
b346,114.18325,36.92241
b347,113.73301,35.51266
b348,113.29896,35.6642
b349,113.97277,36.64747
b350,115.63694,34.12747
b351,113.52112,36.19508
b352,114.28146,35.44656
b353,115.61268,36.11247
b354,115.15692,36.84958
b355,113.13975,34.74261
b356,113.94542,34.73155
b357,114.54469,36.80968
b358,115.55676,36.58904
b359,115.47048,34.91713
b360,114.97128,34.39655
b361,114.06506,34.65712
b362,114.45532,35.25817
b363,114.99828,35.98868
b364,115.19301,36.14168
b365,114.48607,36.66309
b366,115.84113,36.21343
b367,115.09195,34.5753
b368,115.47692,34.6873
b369,114.64748,36.84644
b370,113.44585,35.57128
b371,114.14688,34.65854
b372,113.16256,35.04537
b373,115.42224,35.13703
b374,113.96549,36.63427
b375,113.28411,36.54668
b376,114.41439,35.25346
b377,113.7549,34.86748
b378,114.73648,34.56162
b379,115.64516,34.50375
b380,114.03583,36.14371
b381,114.40019,35.92042
b382,113.23304,35.27917
b383,115.13384,35.66505
b384,113.83657,35.30164
b385,113.13751,35.86712
b386,113.64291,34.7192
b387,115.39004,35.4965
b388,115.63273,35.012
b389,114.66554,36.88756
b390,114.43633,36.69479
b391,115.16494,36.26048
b392,113.13716,35.05689
b393,113.3825,35.06255
b394,113.82472,35.24629
b395,114.61503,35.02694
b396,115.63193,36.12628
b397,113.71507,36.37552
b398,113.47069,36.39182
b399,113.80573,35.97787
b400,115.63183,35.58587
b401,114.25958,35.47904
b402,113.18278,34.86497
b403,114.74901,36.48529
b404,113.38331,34.50815
b405,113.91016,36.12592
b406,113.69961,35.0478
b407,114.60595,34.47087
b408,114.39721,36.37605
b409,115.90035,34.59857
b410,115.17365,35.27486
b411,115.99011,35.83738
b412,113.24251,36.25543
b413,114.8621,34.61411
b414,115.42002,36.20169
b415,115.98904,36.6897
b416,115.36782,36.38171
b417,115.13289,34.41543
b418,114.03647,34.85477
b419,113.5131,34.64222
b420,113.4193,35.53408
b421,113.58148,34.77959
b422,114.22407,34.69419
b423,114.91087,34.67698
b424,113.43677,35.73178
b425,114.47878,35.87725
b426,115.79103,36.23357
b427,115.53611,36.48912
b428,113.30523,36.81724
b429,114.64549,35.71297
b430,115.10784,34.69522
b431,114.11364,35.7875
b432,114.55454,36.54199
b433,113.47785,35.34044
b434,113.74712,36.30889
b435,113.90468,36.97062
b436,114.01806,34.96309
b437,114.62829,35.36589
b438,115.58444,36.88417
b439,115.21063,36.64286
b440,113.48803,34.88998
b441,114.18572,34.9074
b442,115.79984,36.52374
b443,115.44911,34.19884
b444,115.04197,36.57896
b445,113.87214,35.43069
b446,113.58972,36.553
b447,113.44952,36.48989
b448,115.77754,35.07718
b449,114.73743,36.27252
b450,115.7568,34.87373
b451,114.77332,35.40195
b452,115.02704,34.92856
b453,113.15049,34.94652
b454,113.25993,34.72766
b455,114.4961,34.90268
b456,114.89411,35.69138
b457,114.30356,35.61942
b458,114.06298,34.92505
b459,113.78498,34.77411
b460,113.40139,35.23927
b461,113.36871,35.1719
b462,113.17946,36.23015
b463,114.46551,35.28512
b464,113.82049,36.96606
b465,113.67747,35.13754
b466,113.43906,35.95065
b467,113.36183,34.45406
b468,115.50464,36.14136
b469,113.41589,36.73177
b470,113.11644,35.13426
b471,114.901,34.33113
b472,115.50107,34.49107
b473,114.65767,34.84796
b474,113.6999,36.00637
b475,115.78721,34.99579
b476,115.35277,34.89479
b477,115.62905,34.89302
b478,115.90261,34.71352
b479,113.6869,36.03072
b480,115.18529,36.2511
b481,115.23787,35.65206
b482,115.80831,34.87286
b483,113.98178,36.34719
b484,113.7912,36.28432
b485,115.25114,36.79815
b486,114.55974,34.19549
b487,115.76923,35.82816
b488,113.22619,36.46809
b489,114.25368,36.33837
b490,114.61474,35.54308
b491,115.99198,34.2698
b492,115.10978,36.37259
b493,115.14591,34.88573
b494,113.92535,36.88516
b495,114.36732,34.97196
b496,114.69396,36.21935
b497,115.44014,34.73052
b498,115.42739,35.67016
b499,115.78645,34.91373
b500,115.84195,34.55681
b501,113.20971,35.65769
b502,115.13882,35.67474
b503,113.97325,35.23711
b504,114.51692,35.87701
b505,115.25556,34.94608
b506,114.32691,34.89046
b507,114.35596,36.48694
b508,115.16806,36.48938
b509,113.8864,34.84667
b510,113.7257,35.36237
b511,113.46349,36.30234
b512,114.82683,34.86899
b513,115.9574,34.45994
b514,113.90042,35.67026
b515,113.73192,36.54036
b516,114.99628,35.388
b517,113.19751,34.66701
b518,113.62054,34.32663
b519,114.96688,36.58441
b520,113.76649,35.32669
b521,113.18922,35.20276
b522,113.1327,36.81229
b523,113.92394,35.21534
b524,115.73044,35.06364
b525,115.00997,35.98651
b526,115.12109,34.90967
b527,114.68896,34.88035
b528,113.89471,34.66894
b529,115.75492,36.25013
b530,115.01166,34.39246
b531,113.54684,34.23825
b532,115.30907,35.44231
b533,115.77507,35.63633
b534,114.85285,34.59928
b535,114.51361,34.96673
b536,113.12122,36.23791
b537,115.11436,35.92517
b538,113.79078,35.06364
b539,113.33193,35.76743
b540,114.47638,35.67474
b541,115.65488,35.31455
b542,114.98564,36.38558
b543,114.51115,34.19628
b544,115.60374,35.69049
b545,114.10511,34.59175
b546,114.04777,34.53386
b547,113.48268,35.33533
b548,115.8201,35.2253
b549,115.51433,35.61844
b550,114.08617,34.9825
b551,115.45683,35.7027
b552,113.60017,36.32876
b553,115.18274,35.55809
b554,114.96139,36.23297
b555,114.74297,34.72556
b556,114.31324,34.68588
b557,113.63531,35.48175
b558,114.06867,35.17293
b559,115.52613,36.18484
b560,114.6767,34.13078
b561,114.23049,36.05533
b562,115.50566,34.27973
b563,114.94784,36.04944
b564,113.3861,35.85553
b565,114.16644,35.83641
b566,115.33788,36.00148
b567,114.77985,34.50817
b568,114.88985,36.87641
b569,114.60253,36.7547
b570,115.80575,34.22078
b571,114.01082,35.6742
b572,115.78564,35.55835
b573,114.71241,35.63772
b574,115.66833,36.49571
b575,114.52931,36.03811
b576,114.34497,34.85804
b577,114.21338,36.78913
b578,115.314,36.91837
b579,114.76896,35.13666
b580,114.69073,35.99168
b581,114.4507,36.36382
b582,114.33749,34.77102
b583,114.02546,35.86439
b584,115.37214,36.52792
b585,113.18403,35.76451
b586,113.87098,34.60697
b587,114.39072,35.78506
b588,115.93401,36.97087
b589,115.94022,35.99145
b590,114.78326,35.9352
b591,114.3574,36.91757
b592,115.19871,35.94504
b593,115.7787,35.28852
b594,114.82737,35.94608
b595,114.62115,34.51005
b596,114.47006,35.79635
b597,113.44486,36.94176
b598,115.37216,34.63385
b599,114.85474,36.53566
b600,115.18382,36.58154
b601,113.77187,36.75074
b602,113.80304,36.52657
b603,115.37984,35.53943
b604,115.33583,34.82518
b605,114.31662,36.40389
b606,114.05627,35.23782
b607,115.01542,36.26143
b608,113.78347,35.67061
b609,115.48136,34.97754
b610,115.77257,35.90704
b611,115.47525,34.68951
b612,115.37312,36.12409
b613,114.59909,34.22362
b614,113.24243,36.63376
b615,113.63138,35.00651
b616,114.43665,35.08777
b617,115.53207,35.15864
b618,114.02229,36.09327
b619,115.47191,34.39284
b620,113.35554,34.78278
b621,114.50743,36.99756
b622,114.77788,36.83966
b623,114.92215,35.11463
b624,114.13707,36.94169
b625,114.16609,35.98395
b626,114.42732,36.42242
b627,114.67988,36.69635
b628,114.25636,35.83416
b629,115.00894,34.27002
b630,115.43779,34.41088
b631,114.02889,35.06548
b632,113.63508,35.64547
b633,113.19254,35.866
b634,115.70201,36.36827
b635,114.91445,36.41971
b636,115.06525,34.58521
b637,114.15997,35.58129
b638,114.44635,36.53215
b639,114.08207,35.19353
b640,115.67698,35.14603
b641,114.788,36.9489
b642,113.29835,36.32003
b643,114.99715,34.47501
b644,113.60089,35.17064
b645,115.30898,36.76726
b646,115.63584,36.69748
b647,113.44891,35.27178
b648,113.4344,36.25751
b649,113.38037,34.11999
b650,114.46564,35.33191
b651,113.95509,36.24838
b652,114.53864,35.46948
b653,113.76989,35.35701
b654,114.65636,36.2123
b655,114.96686,36.06604
b656,114.75937,35.24481
b657,113.40883,36.92416
b658,114.25354,36.15524
b659,113.99934,36.27646
b660,115.96888,36.71715
b661,114.01928,36.48361
b662,113.71013,36.467
b663,115.33079,35.28338
b664,114.15676,35.33391
b665,113.57197,35.1246
b666,114.42202,34.50613
b667,115.51892,36.66806
b668,113.45673,34.34224
b669,114.62086,36.86508
b670,114.96594,34.63124
b671,115.90396,35.4625
b672,114.78692,36.79928
b673,114.75159,35.85729
b674,113.32169,35.53815
b675,115.68905,35.34514
b676,115.59828,34.61418
b677,115.81995,35.2872
b678,115.16887,34.5968
b679,113.286,35.50532
b680,114.79235,36.72195
b681,113.36577,35.28857
b682,115.98679,36.47724
b683,113.99731,36.38364
b684,114.08084,34.61867
b685,113.58584,34.3071
b686,115.39566,35.54063
b687,115.51122,34.74437
b688,114.34165,36.1376
b689,115.53818,34.97295
b690,114.61096,34.49664
b691,113.26643,36.88281
b692,113.53199,34.43272
b693,115.32556,35.95625
b694,115.77529,35.86147
b695,115.59705,34.61545
b696,113.15305,36.03023
b697,115.96849,36.84964
b698,115.63883,36.78612
b699,115.56997,34.57908
b700,113.8898,34.37625
b701,114.26476,35.53051
b702,114.32284,34.16776
b703,113.91716,36.14688
b704,114.01301,34.86076
b705,113.81517,34.98104
b706,114.89742,34.74158
b707,113.89644,34.53398
b708,114.25228,35.41936
b709,115.48274,34.86655
b710,114.50084,34.6856
b711,115.68327,34.80176
b712,115.8497,36.17851
b713,115.94947,36.91768
b714,113.56115,35.69894
b715,114.35772,35.03613
b716,114.59926,36.60296
b717,114.92379,36.49715
b718,115.74067,34.48452
b719,113.50719,36.4482
b720,113.37749,34.7157
b721,114.95865,34.83775
b722,115.17617,36.05606
b723,113.81125,34.83423
b724,114.25688,34.72249
b725,115.16403,36.46354
b726,115.44986,36.36548
b727,115.2056,34.80613
b728,115.78581,35.95862
b729,114.69903,34.601
b730,113.39772,35.13537
b731,115.33902,35.80499
b732,115.00625,35.19075
b733,114.8874,35.40839
b734,113.68093,34.59299
b735,114.62324,34.45834
b736,115.53237,35.62741
b737,113.4763,35.50502
b738,115.6713,36.4973
b739,113.51609,35.09352
b740,113.83268,34.69146
b741,115.79861,34.43973
b742,113.59641,36.9239
b743,115.88403,34.19859
b744,114.56311,36.38274
b745,115.09937,34.45998
b746,113.21459,36.18656
b747,115.90593,35.05118
b748,113.77594,35.05749
b749,115.7565,36.34941
b750,113.70519,36.02443
b751,113.20335,36.34891
b752,113.95627,35.33461
b753,114.20515,35.31685
b754,114.23991,35.7569
b755,115.51277,34.73422
b756,115.6737,35.55407
b757,113.15381,35.73059
b758,113.77035,35.94834
b759,113.18432,34.80392
b760,114.56024,35.91738
b761,113.51156,35.69141
b762,115.51425,35.36878
b763,115.31204,35.19187
b764,113.74832,36.0661
b765,115.33322,36.9227
b766,113.5444,36.36042
b767,114.19634,36.52148
b768,115.96598,36.16136
b769,113.64684,35.51153
b770,114.45358,35.58073
b771,114.99166,34.35945
b772,115.94869,36.89361
b773,114.69606,34.42845
b774,113.87501,36.6792
b775,115.7059,34.79351
b776,115.47701,34.9691
b777,113.45799,34.74918
b778,115.32278,35.73447
b779,115.15134,35.16815
b780,115.78924,34.30218
b781,115.43916,35.90048
b782,115.96585,34.1606
b783,114.77892,34.65548
b784,114.12591,34.92712
b785,114.532,35.2576
b786,113.73623,34.68323
b787,114.64278,34.57634
b788,114.58452,35.14538
b789,114.14762,35.51937
b790,113.19087,34.85386
b791,114.38275,36.37743
b792,113.59828,34.72963
b793,113.94139,35.64423
b794,113.30775,35.93802
b795,114.07263,36.29847
b796,113.39959,35.44328
b797,114.64387,34.79335
b798,115.6145,35.98478
b799,113.53182,34.81094
b800,113.49423,36.63498
b801,115.86754,35.14556
b802,114.76199,34.96421
b803,113.2725,36.37569
b804,113.71076,35.75055
b805,115.02961,35.09137
b806,115.08175,34.77253
b807,115.60367,35.32237
b808,114.3555,35.35038
b809,114.97644,35.43779
b810,113.74835,34.99358
b811,114.58957,34.25853
b812,115.91015,34.86451
b813,114.36934,35.54702
b814,115.79427,35.7321
b815,113.64447,36.78434
b816,113.21252,36.12122
b817,114.49534,34.29043
b818,114.65125,34.12936
b819,115.52261,34.43902
b820,113.97742,34.38501
b821,113.78118,35.07904
b822,115.79398,34.40167
b823,115.85547,35.71741
b824,115.32846,35.45488
b825,115.61904,34.41265
b826,114.62055,36.56661
b827,114.00027,36.13887
b828,114.55406,35.52023
b829,113.32846,35.38406
b830,115.99309,35.09836
b831,113.16261,34.14231
b832,114.24439,36.44634
b833,113.86938,35.29208
b834,114.54679,36.77038
b835,113.65629,36.86194
b836,113.48267,36.11903
b837,114.40552,34.36499
b838,114.71256,36.88166
b839,115.58636,36.01778
b840,113.82913,35.04908
b841,114.24185,36.78616
b842,113.47427,35.01595
b843,115.37249,34.47091
b844,114.46408,36.18827
b845,115.07756,35.58817
b846,113.91058,35.21639
b847,115.1186,34.95125
b848,113.79144,34.36996
b849,115.65708,36.21947
b850,114.36849,35.39862
b851,113.78089,35.15432
b852,113.88403,34.47906
b853,115.52523,36.99978
b854,114.57776,34.53602
b855,114.07393,36.30501
b856,113.92259,35.76438
b857,113.40396,35.57019
b858,114.22698,36.46467
b859,114.09365,36.02835
b860,115.55482,34.52414
b861,113.83581,35.28849
b862,115.29182,35.40194
b863,114.68543,35.33243
b864,114.78306,36.07104
b865,115.4927,34.73081
b866,113.28877,36.67354
b867,115.862,36.25389
b868,113.91433,36.18046
b869,114.79319,35.40828
b870,115.47994,35.64799
b871,113.73333,35.5188
b872,114.5254,36.06249
b873,115.47195,35.51295
b874,114.95159,36.47225
b875,115.86686,34.56228
b876,113.98596,35.03739
b877,114.64925,34.37192
b878,114.48485,35.10656
b879,115.40279,36.53952
b880,115.8638,36.19657
b881,113.5827,35.76441
b882,113.53695,35.46007
b883,114.16903,34.64884
b884,115.96836,35.41364
b885,113.94891,35.4002
b886,115.41325,35.00867
b887,113.81214,36.27849
b888,114.83236,36.03974
b889,113.40286,34.91392
b890,114.62202,34.14456
b891,113.36372,35.71289
b892,114.00916,36.60194
b893,113.66047,35.21225
b894,114.51489,34.18922
b895,114.31726,35.25622
b896,115.2472,35.71217
b897,113.36788,35.88979
b898,114.50125,35.79768
b899,115.04503,35.84113
b900,115.25087,36.85269
b901,114.69149,35.924
b902,113.78395,36.66884
b903,115.5724,34.27437
b904,113.55211,36.84151
b905,113.34768,34.14207
b906,114.20325,35.6481
b907,113.48373,36.14314
b908,113.23402,34.1572
b909,113.32562,36.19917
b910,115.8902,36.70496
b911,115.3353,36.46111
b912,114.96117,34.77538
b913,114.44611,36.22835
b914,113.36884,34.2924
b915,114.38078,34.65693
b916,113.77576,34.63952
b917,113.32274,34.87653
b918,113.36171,35.0383
b919,114.18144,34.76674
b920,114.21566,34.23735
b921,114.8189,36.48413
b922,115.00278,34.91688
b923,114.79528,35.53351
b924,113.19511,36.22601
b925,115.33109,36.36993
b926,114.51113,36.33989
b927,115.29367,35.00946
b928,115.04686,35.10267
b929,113.64114,35.554
b930,115.15251,35.60775
b931,115.37391,36.854
b932,113.60514,36.59196
b933,114.78484,36.35579
b934,115.71063,36.97704
b935,114.12466,34.25672
b936,115.64872,35.19921
b937,114.18839,35.40564
b938,113.19798,35.40547
b939,115.27064,34.30605
b940,114.02601,36.41988
b941,114.95852,36.76861
b942,114.35516,35.97164
b943,114.91641,36.21798
b944,115.4085,36.61693
b945,115.44421,35.64179
b946,115.31645,34.86303
b947,115.4724,34.63756
b948,115.19395,36.00905
b949,115.31162,35.93537
b950,115.21893,35.00599
b951,113.89928,35.81823
b952,115.62667,36.92994
b953,113.35736,35.50364
b954,114.13651,36.87059
b955,115.68247,35.59352
b956,115.80399,34.53576
b957,115.78642,34.22177
b958,115.14867,35.9142
b959,113.57807,35.18943
b960,114.22695,36.51643
b961,115.76706,36.54874
b962,115.35002,35.20966
b963,115.00443,34.75074
b964,113.39237,36.26233
b965,115.42851,35.41308
b966,114.27574,34.59096
b967,113.9115,34.42947
b968,115.72343,35.45691
b969,114.69308,34.66089
b970,115.37987,36.7771
b971,115.70259,35.19774
b972,113.79656,36.54335
b973,113.15221,35.04083
b974,114.78827,34.95846
b975,114.30515,34.16932
b976,115.33963,36.59519
b977,114.64747,36.20843
b978,113.93516,35.14559
b979,114.3452,36.90691
b980,113.84453,36.80426
b981,113.27253,36.81478
b982,114.76496,34.81886
b983,115.55389,35.08852
b984,115.54393,36.84475
b985,115.73104,35.2329
b986,114.57908,35.68486
b987,113.61783,34.34525
b988,113.92819,35.36695
b989,113.70765,36.29697
b990,115.02323,35.77328
b991,115.08664,36.32351
b992,113.69115,35.78188
b993,114.54541,34.70298
b994,115.63847,35.25303
b995,113.84478,36.92243
b996,115.12228,34.60476
b997,115.74662,35.69871
b998,115.50411,34.96701
b999,114.66198,36.33117
b1000,115.57937,35.31341
b1001,113.47116,35.27467
b1002,115.72242,34.24434
b1003,115.41971,35.94703
b1004,115.75828,35.64089
b1005,113.53308,35.46919
b1006,115.08555,36.83042
b1007,114.76018,35.14797
b1008,115.04202,35.43576
b1009,115.14447,34.64753
b1010,115.66276,35.9707
b1011,113.77495,36.73538
b1012,113.1753,35.77173
b1013,113.47402,36.46645
b1014,113.98787,34.93565
b1015,115.84882,34.47299
b1016,115.5332,34.30217
b1017,114.31117,36.64568
b1018,115.59364,34.56452
b1019,113.73421,34.47728
b1020,115.04571,34.49794
b1021,113.59489,36.3572
b1022,114.3273,35.49323
b1023,114.42306,35.62873
b1024,115.98285,36.27785
b1025,113.27328,35.27552
b1026,113.54462,36.77123
b1027,113.95032,35.55799
b1028,113.39911,36.75325
b1029,113.90704,35.25979
b1030,115.58757,34.82932
b1031,115.58859,35.33763
b1032,114.74612,36.11277
b1033,115.56738,36.69894
b1034,113.60047,34.68259
b1035,113.59738,35.56699
b1036,114.69305,35.10714
b1037,114.7598,35.22378
b1038,113.50464,36.77351
b1039,115.6118,36.75204
b1040,113.72254,36.58362
b1041,115.19646,36.31171
b1042,114.82593,34.97062
b1043,113.77429,36.39062
b1044,115.32484,36.17501
b1045,115.06933,35.88936
b1046,114.18614,34.13003
b1047,115.98521,36.79699
b1048,115.38964,35.00993
b1049,113.82597,35.46393
b1050,113.70709,35.45949
b1051,114.56147,35.75453
b1052,114.20414,36.02476
b1053,115.58282,35.44739
b1054,115.1681,36.61482
b1055,113.3706,36.60548
b1056,115.06061,35.38626
b1057,113.50825,34.67475
b1058,113.26044,34.86074
b1059,115.4068,36.8374
b1060,113.72949,36.75834
b1061,115.4251,35.15073
b1062,113.72411,35.00864
b1063,114.92203,35.7319
b1064,115.49138,34.98144
b1065,115.02576,36.53493
b1066,115.22177,36.49099
b1067,113.3914,35.49746
b1068,115.34868,35.418
b1069,113.95645,36.77958
b1070,113.48918,35.83328
b1071,113.56614,36.98625
